Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,WBC..x103.uL.,RBC..x106.uL.,HGB..g.dL.,HCT....,MCV..fL.,MCH..pg.,MCHC..g.dL.,Plt..x103.uL.,MPV..fL.,X.Retic,X.Retic.109cells.l.,X.Neut,X.LYMPH,X.MONO,X.EOS,X.BASO,X.LUC,X.NEUT.103cells.uL.,X.LYMPH.103cells.uL.,X.MONO.103cells.uL.,X.EOS.103cells.uL.,X.BASO.103cells.uL.,X.LUC.103cells.uL.,CHCM.g.dL.,Tube.A..plasma.vl.,Plasma.Box.ID
DO.0351,M,G8,LGDO-M-23,10/25/2011,6/5/2012,224,Bld-2 31wks,29.85,11.17,11.3,15.8,54.8,48.5,14,28.8,1718,6.3,0,0,12.7,84,1.4,0.4,0.3,1.2,1.42,9.39,0.15,0.04,0.03,0.14,28.7,45,JDO-B-060512-01
DO.0352,M,G8,LGDO-M-23,10/27/2011,6/5/2012,222,Bld-2 31wks,49.18,11.92,11.1,16.4,55.2,49.8,14.7,29.6,1170,5.7,0,0,10.3,82.6,2.5,2.9,0.5,1.3,1.22,9.85,0.3,0.34,0.06,0.15,28.9,45,JDO-B-060512-01
DO.0353,M,G8,LGDO-M-23,10/24/2011,6/5/2012,225,Bld-2 31wks,45.83,5.72,10.18,15.1,53,52.1,14.8,28.4,1218,6.1,0,0,14.8,77.5,4.3,1.8,0.6,0.9,0.85,4.44,0.24,0.11,0.04,0.05,27.8,45,JDO-B-060512-01
DO.0354,M,G8,LGDO-M-23,10/27/2011,6/5/2012,222,Bld-2 31wks,42.58,8.74,11.02,14.7,54.8,49.7,13.4,26.9,1951,5.9,0,0,35.8,58.9,2.1,2,0.3,0.9,3.13,5.15,0.18,0.17,0.03,0.08,26.5,45,JDO-B-060512-01
DO.0355,M,G8,LGDO-M-23,10/25/2011,6/5/2012,224,Bld-2 31wks,42.12,9.02,11.63,17.4,58.8,50.6,14.9,29.5,1487,6.6,0,0,15.5,73.3,4.5,5.2,0.5,1.1,1.4,6.61,0.41,0.47,0.04,0.1,29.5,40,JDO-B-060512-01
DO.0356,M,G8,LGDO-M-24B,10/25/2011,6/5/2012,224,Bld-2 31wks,38.18,9.52,11.17,15.9,57.1,51.1,14.2,27.7,1790,6.6,0,0,17.5,72.3,3.8,4.4,0.8,1.3,1.67,6.89,0.36,0.42,0.07,0.12,26.7,45,JDO-B-060512-01
DO.0357,M,G8,LGDO-M-24,10/27/2011,6/5/2012,222,Bld-2 31wks,40.39,5.55,11.79,16.5,59.6,50.5,14,27.6,1470,5.8,0,0,13.6,71.5,2.5,10.8,0.6,0.9,0.76,3.97,0.14,0.6,0.04,0.05,26.1,45,JDO-B-060512-01
DO.0358,M,G8,LGDO-M-24,10/22/2011,6/5/2012,227,Bld-2 31wks,36.72,9.6,10.5,16.3,56.1,53.5,15.5,29,1822,6.9,0,0,23.7,70.7,3,1.3,0.3,1,2.28,6.79,0.28,0.13,0.03,0.1,28.7,45,JDO-B-060512-01
DO.0359,M,G8,LGDO-M-24,10/22/2011,6/5/2012,227,Bld-2 31wks,51.38,9.42,11.25,14.6,52,46.3,13,28.1,1506,6.5,0,0,40.8,52.5,3.3,2.7,0.2,0.4,3.85,4.95,0.31,0.25,0.02,0.04,27.8,45,JDO-B-060512-01
DO.0360,M,G8,LGDO-M-24A,10/22/2011,6/5/2012,227,Bld-2 31wks,40.07,3.82,10.22,15.7,55.8,54.5,15.4,28.2,1417,6.4,0,0,9.9,82.1,3.1,4,0.3,0.6,0.38,3.13,0.12,0.15,0.01,0.02,27,45,JDO-B-060512-01
DO.0361,M,G9,LGDO-M-25C,2/22/2012,9/19/2012,210,Bld-2 31wks,48.84,7.16,11.48,16.3,51.6,45,14.2,31.7,1532,6.7,0,0,19.5,75.4,2.9,1.4,0.3,0.5,1.4,5.4,0.21,0.1,0.02,0.04,31.2,40,JDO-B-091912-01
DO.0362,M,G9,LGDO-M-25B,2/19/2012,9/19/2012,213,Bld-2 31wks,38.14,4.03,10.44,14.8,47.4,45.4,14.2,31.3,1267,6.5,0,0,15.9,79.9,1.2,2.4,0.2,0.4,0.64,3.22,0.05,0.1,0.01,0.02,30.2,40,JDO-B-091912-01
DO.0363,M,G9,LGDO-M-25,2/24/2012,9/19/2012,208,Bld-2 31wks,32.08,5.13,10.39,15.1,48.1,46.3,14.5,31.4,1616,5.9,0,0,24.3,69.7,2.6,3,0.1,0.3,1.25,3.58,0.13,0.15,0.01,0.02,30.6,40,JDO-B-091912-01
DO.0364,M,G9,LGDO-M-25,2/24/2012,9/19/2012,208,Bld-2 31wks,39.21,8.83,10.73,16.1,51,47.6,15,31.6,1802,6.4,0,0,13.2,81.8,2.8,1.3,0.4,0.5,1.17,7.22,0.25,0.11,0.03,0.04,30.3,35,JDO-B-091912-01
DO.0365,M,G9,LGDO-M-25A,2/22/2012,9/19/2012,210,Bld-2 31wks,34.93,6.25,10.22,15.1,49.6,48.5,14.8,30.5,1244,6.2,0,0,10.6,84.9,1.7,2,0.2,0.6,0.66,5.31,0.1,0.13,0.01,0.04,29.3,40,JDO-B-091912-01
DO.0366,M,G9,LGDO-M-26,2/21/2012,9/19/2012,211,Bld-2 31wks,52.89,7.88,11.03,16.1,52.7,47.8,14.6,30.6,1768,6.4,0,0,12,82.9,2.8,1.4,0.2,0.7,0.94,6.53,0.22,0.11,0.02,0.05,30.1,35,JDO-B-091912-01
DO.0367,M,G9,LGDO-M-26,2/24/2012,9/19/2012,208,Bld-2 31wks,40.15,2.47,10.36,15.2,49.1,47.4,14.7,31,1206,5.9,0,0,8.7,83.8,3.9,2.6,0.3,0.7,0.21,2.07,0.1,0.06,0.01,0.02,30.2,40,JDO-B-091912-01
DO.0368,M,G9,LGDO-M-26A,2/18/2012,9/19/2012,214,Bld-2 31wks,30.91,5.44,10.83,15.3,50.9,47,14.1,30,1265,6.2,0,0,13.9,78.7,2.7,3.8,0.5,0.4,0.76,4.28,0.15,0.2,0.03,0.02,28.4,35,JDO-B-091912-01
DO.0369,M,G9,LGDO-M-26,2/22/2012,9/19/2012,210,Bld-2 31wks,40.95,18.9,9.88,14.8,46.1,46.7,15,32.2,1699,7.3,0,0,4,91.1,1.9,1.3,0.4,1.4,0.75,17.21,0.35,0.24,0.07,0.27,32.2,40,JDO-B-091912-01
DO.0370,M,G9,LGDO-M-26,2/21/2012,9/19/2012,211,Bld-2 31wks,42.07,7.02,10.56,15.5,49.5,46.9,14.7,31.3,1714,5.9,0,0,12.4,81.3,3.1,2.6,0.2,0.4,0.87,5.71,0.22,0.18,0.01,0.03,30.9,40,JDO-B-091912-01
DO.0371,M,G9,LGDO-M-27,2/21/2012,9/19/2012,211,Bld-2 31wks,27.93,4.93,10.52,14.9,48.1,45.8,14.2,31,1625,6.4,0,0,7.5,88.5,2,1.5,0.2,0.3,0.37,4.36,0.1,0.08,0.01,0.02,30.2,40,JDO-B-091912-01
DO.0372,M,G9,LGDO-M-27A,2/22/2012,9/19/2012,210,Bld-2 31wks,41.26,13.27,10.77,15,48.6,45.1,14,30.9,1742,6.3,0,0,18.1,76.1,4.1,0.9,0.3,0.5,2.4,10.1,0.54,0.12,0.04,0.07,30.1,40,JDO-B-091912-01
DO.0373,M,G9,LGDO-M-27,2/19/2012,9/19/2012,213,Bld-2 31wks,33.36,17.66,11.1,15.4,50.2,45.3,13.9,30.7,1846,6.1,0,0,12,80.6,2.4,4.1,0.3,0.6,2.12,14.25,0.42,0.72,0.05,0.11,30.2,40,JDO-B-091912-01
DO.0374,M,G9,LGDO-M-27B,2/20/2012,9/19/2012,212,Bld-2 31wks,53.81,10.74,11.89,16.4,51.9,43.6,13.8,31.6,1674,5.8,0,0,10.9,83.4,2.5,2.3,0.2,0.7,1.17,8.95,0.27,0.25,0.02,0.07,31.3,40,JDO-B-091912-01
DO.0375,M,G9,,2/21/2012,9/19/2012,211,Bld-2 31wks,33.59,8.57,10.52,15.6,49.1,46.7,14.8,31.7,1552,6.6,0,0,8.3,87.4,2.1,1.7,0.2,0.3,0.71,7.49,0.18,0.15,0.02,0.03,31.6,40,JDO-B-091912-01
DO.0376,M,G9,LGDO-M-28,2/19/2012,9/19/2012,213,Bld-2 31wks,35.61,5.49,8.93,14.7,45.8,51.3,16.5,32.2,1919,7.4,0,0,56.5,39.3,1,0.6,0.4,2.1,3.1,2.16,0.05,0.04,0.02,0.12,32.1,40,JDO-B-091912-01
DO.0377,M,G9,LGDO-M-28,2/20/2012,9/19/2012,212,Bld-2 31wks,31.15,4.71,9.66,13.7,46.9,48.5,14.2,29.3,1948,6.8,0,0,14,81.3,2.6,1.3,0.3,0.6,0.66,3.83,0.12,0.06,0.01,0.03,29.5,40,JDO-B-091912-01
DO.0378,M,G9,LGDO-M-28,2/20/2012,9/19/2012,212,Bld-2 31wks,50.7,12.9,10.69,15.2,48.7,45.6,14.3,31.3,1992,6.6,0,0,24,65.6,3.3,6.5,0.3,0.4,3.1,8.47,0.42,0.83,0.04,0.05,31.6,40,JDO-B-091912-01
DO.0379,M,G9,LGDO-M-28A,2/20/2012,9/19/2012,212,Bld-2 31wks,34.5,8,10.7,15.8,51.7,48.3,14.8,30.6,1464,6.1,0,0,35.9,56.7,2.2,4.6,0.2,0.4,2.87,4.54,0.18,0.37,0.02,0.03,30.5,40,JDO-B-091912-01
DO.0380,M,G9,LGDO-M-28,2/22/2012,9/19/2012,210,Bld-2 31wks,51.68,13.63,10.85,15.7,49.8,45.9,14.5,31.5,1859,5.9,0,0,19.5,74.8,2.9,2,0.4,0.5,2.65,10.2,0.39,0.27,0.05,0.06,31.4,40,JDO-B-091912-01
DO.0381,M,G9,LGDO-M-29D,2/22/2012,9/25/2012,216,Bld-2 31wks,33.02,11.34,10.13,15.4,49.6,49,15.2,31,1915,5,0,0,15.5,78.9,2.3,2.5,0.2,0.6,1.75,8.95,0.26,0.28,0.03,0.07,31.8,40,JDO-B-092512-01
DO.0382,M,G9,LGDO-M-29B,2/20/2012,9/25/2012,218,Bld-2 31wks,31.54,12.94,9.92,14,47.6,48,14.1,29.4,2599,5,0,0,19.5,74.2,4,1.1,0.3,0.8,2.52,9.61,0.52,0.15,0.04,0.1,30.4,40,JDO-B-092512-01
DO.0383,M,G9,LGDO-M-29A,2/22/2012,9/25/2012,216,Bld-2 31wks,38.43,8.69,11.91,16.6,52.3,43.9,14,31.8,1805,5.2,0,0,9.3,83.5,2.1,3.9,0.2,0.9,0.8,7.26,0.18,0.34,0.02,0.08,31.8,35,JDO-B-092512-01
DO.0384,M,G9,LGDO-M-29C,2/19/2012,9/25/2012,219,Bld-2 31wks,31.51,12,10.52,15.4,48.7,46.3,14.7,31.7,1516,5.1,0,0,5.6,89.6,1.5,2.2,0.2,1,0.67,10.76,0.18,0.26,0.02,0.11,31.8,40,JDO-B-092512-01
DO.0385,M,G9,LGDO-M-29,2/19/2012,9/25/2012,219,Bld-2 31wks,31.8,8.17,10.8,15.1,48,44.5,14,31.4,1557,5.1,0,0,10.5,83.6,3.6,1.7,0.2,0.4,0.86,6.83,0.3,0.14,0.02,0.03,31.8,40,JDO-B-092512-01
DO.0387,M,G9,LGDO-M-30,2/19/2012,9/25/2012,219,Bld-2 31wks,43.97,9.47,9.64,14.4,45.8,47.5,14.9,31.4,1998,5.3,0,0,24.9,71.8,1.6,1.1,0.1,0.4,2.36,6.8,0.15,0.1,0.01,0.04,31.9,40,JDO-B-092512-01
DO.0389,M,G9,LGDO-M-30,2/22/2012,9/25/2012,216,Bld-2 31wks,42.01,9.43,9.64,14.5,46.2,47.9,15,31.4,1778,5.1,0,0,14.6,69.9,2.5,12.2,0.1,0.7,1.38,6.59,0.24,1.15,0.01,0.06,31.3,40,JDO-B-092512-01
DO.0390,M,G9,LGDO-M-30A,2/20/2012,9/25/2012,218,Bld-2 31wks,33.63,16.82,11.02,15.6,51.9,47.1,14.2,30.1,1367,5.3,0,0,10.8,85.1,1.8,1.2,0.4,0.8,1.82,14.31,0.3,0.2,0.06,0.14,30.2,40,JDO-B-092512-01
DO.0391,M,G9,LGDO-M-31,2/19/2012,9/25/2012,219,Bld-2 31wks,41.08,14.19,11.12,16.4,53.1,47.8,14.7,30.8,1658,5.4,0,0,9.6,84.2,2.6,2.7,0.3,0.5,1.37,11.95,0.37,0.38,0.05,0.07,31.3,35,JDO-B-092512-01
DO.0392,M,G9,LGDO-M-31,2/19/2012,9/25/2012,219,Bld-2 31wks,46.06,9.82,11.43,17.2,55,48.1,15,31.2,1632,5.4,0,0,13.3,81.3,3.1,1.5,0.2,0.8,1.3,7.98,0.3,0.14,0.02,0.08,31.6,35,JDO-B-092512-01
DO.0393,M,G9,LGDO-M-31,2/18/2012,9/25/2012,220,Bld-2 31wks,47.68,5.41,10.72,14.6,48.5,45.3,13.6,30.1,1379,5,0,0,17,77.5,1.8,3.2,0.2,0.4,0.92,4.19,0.1,0.17,0.01,0.02,30.4,40,JDO-B-092512-01
DO.0394,M,G9,LGDO-M-31,2/21/2012,9/25/2012,217,Bld-2 31wks,30.17,10.98,10.15,14.9,47.2,46.5,14.6,31.5,1497,5.3,0,0,15.7,71.4,2.8,9.1,0.3,0.7,1.72,7.84,0.31,1,0.04,0.07,31.9,40,JDO-B-092512-01
DO.0395,M,G9,LGDO-M-31,2/18/2012,9/25/2012,220,Bld-2 31wks,39.49,13.27,10.26,15.5,49.3,48.1,15.1,31.4,1784,5.1,0,0,9.2,87.2,1.8,0.8,0.2,0.8,1.22,11.57,0.24,0.11,0.03,0.11,31.7,40,JDO-B-092512-01
DO.0396,M,G9,LGDO-M-32,2/23/2012,9/25/2012,215,Bld-2 31wks,50.46,7.76,9.62,14.4,46.4,48.2,15,31.1,1350,5.3,0,0,10.9,82.1,2.4,3.4,0.5,0.7,0.85,6.37,0.19,0.26,0.04,0.06,30.9,40,JDO-B-092512-01
DO.0397,M,G9,LGDO-M-32B,2/20/2012,9/25/2012,218,Bld-2 31wks,37.18,7.51,12.56,17.2,54,43,13.7,31.8,1697,5.4,0,0,10.3,84.5,2.3,2.3,0.3,0.3,0.77,6.35,0.17,0.17,0.02,0.02,32.2,35,JDO-B-092512-01
DO.0398,M,G9,LGDO-M-32,2/22/2012,9/25/2012,216,Bld-2 31wks,43.32,9.21,10.58,15.4,50.2,47.5,14.6,30.7,1297,5.5,0,0,8.1,88.4,2.1,0.6,0.1,0.7,0.75,8.14,0.19,0.05,0.01,0.06,30.6,40,JDO-B-092512-01
DO.0399,M,G9,LGDO-M-32C,2/20/2012,9/25/2012,218,Bld-2 31wks,34.71,8.97,11.32,16.8,51.2,45.2,14.9,32.9,1394,5.4,0,0,24.4,71.4,1.9,1.8,0.3,0.3,2.18,6.4,0.17,0.16,0.03,0.03,32.5,40,JDO-B-092512-01
DO.0400,M,G9,LGDO-M-32A,2/22/2012,9/25/2012,216,Bld-2 31wks,47.33,9.48,12.81,16.8,52.7,41.2,13.1,31.9,1281,5.2,0,0,23,68.2,4,4.3,0.2,0.3,2.18,6.47,0.38,0.41,0.02,0.03,32,40,JDO-B-092512-01
DO.0401,M,G9,LGDO-M-33,2/20/2012,10/5/2012,226,Bld-2 31wks,41.44,3.33,9.42,13.1,44.1,46.9,13.9,29.7,855,6.9,0,0,7.7,79.3,2,10,0.6,0.4,0.26,2.65,0.07,0.33,0.02,0.01,29.9,20,JDO-B-100512-01
DO.0402,M,G9,LGDO-M-33,2/20/2012,10/5/2012,226,Bld-2 31wks,47.02,5,10.55,15.3,53.1,50.3,14.5,28.7,1983,7.7,0,0,24.9,62.7,79,4.1,0.1,0.3,1.24,3.13,0.39,0.2,0.01,0.02,27.7,40,JDO-B-100512-01
DO.0403,M,G9,LGDO-M-33,2/20/2012,10/5/2012,226,Bld-2 31wks,35.08,4.77,8.06,10.9,35.7,44.3,13.5,30.4,2003,5.9,0,0,30.8,63,2.6,2.8,0.1,0.6,1.47,3.01,0.12,0.14,0.01,0.03,30,40,JDO-B-100512-01
DO.0404,M,G9,LGDO-M-33,2/24/2012,10/5/2012,222,Bld-2 31wks,47.14,7.44,10.48,15.3,50.6,48.3,14.6,30.2,1035,7.5,0,0,16.3,70.4,2.9,9.7,0.3,0.4,1.22,5.24,0.22,0.72,0.02,0.03,29.7,40,JDO-B-100512-01
DO.0405,M,G9,LGDO-M-33,2/21/2012,10/5/2012,225,Bld-2 31wks,42.98,10.07,9.43,15,47.3,50.1,15.9,31.8,1576,6.6,0,0,22.2,72.9,3,1.2,0.3,0.5,2.23,7.34,0.3,0.12,0.03,0.05,32.2,40,JDO-B-100512-01
DO.0406,M,G9,LGDO-M-34A,2/21/2012,10/5/2012,225,Bld-2 31wks,31.41,2.79,12.1,16,54.1,44.7,13.2,29.6,1049,7,0,0,31,40.5,1.6,26.6,0.2,0.1,0.87,1.13,0.04,0.74,0.01,0,29.4,40,JDO-B-100512-01
DO.0407,M,G9,LGDO-M-34,2/21/2012,10/5/2012,225,Bld-2 31wks,49.78,6.95,12.16,175,53.7,44.2,14.4,32.5,1387,6.6,0,0,23.5,71.3,2,2.4,0.4,1.63,4.95,0.14,0.17,0.03,0.03,0.03,31.9,30,JDO-B-100512-01
DO.0408,M,G9,LGDO-M-34,2/22/2012,10/5/2012,224,Bld-2 31wks,47.36,5.99,10.84,15.7,51.3,47.3,14.5,30.7,1046,6.8,0,0,22.5,71.3,1.8,3.9,0.2,0.3,1.35,4.27,0.11,0.23,0.01,0.02,29.7,40,JDO-B-100512-01
DO.0409,M,G9,LGDO-M-34B,2/18/2012,10/5/2012,228,Bld-2 31wks,39.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,JDO-B-100512-01
DO.0410,M,G9,LGDO-M-34B,2/20/2012,10/5/2012,226,Bld-2 31wks,44.59,5.34,11.09,16,50.6,45.6,14.4,31.6,1589,7.5,0,0,48.7,41,6.4,3.7,0.2,0.1,2.6,2.19,0.34,0.2,0.01,0,31.4,40,JDO-B-100512-01
DO.0411,M,G9,LGDO-M-35,2/22/2012,10/5/2012,224,Bld-2 31wks,41.36,4.57,10.71,14.9,47.1,43.9,13.9,316,1447,7.1,0,0,24.2,66.7,2.9,5.8,0.2,0.2,1.11,3.05,0.13,0.27,0.01,0.01,30.8,40,JDO-B-100512-01
DO.0412,M,G9,LGDO-M-35,2/18/2012,10/5/2012,228,Bld-2 31wks,54.21,7.63,11.08,16.2,52.8,47.7,14.6,30.7,1242,6,0,0,18.1,72.7,2.6,6.3,2,0.2,1.38,5.55,0.2,0.48,0.01,0.02,30.5,40,JDO-B-100512-01
DO.0413,M,G9,LGDO-M-35,2/19/2012,10/5/2012,227,Bld-2 31wks,45.15,4.98,11.44,15.9,51.9,45.4,13.9,30.7,1842,6.6,0,0,14.9,77.3,3.3,3.9,0.3,0.4,0.74,3.85,0.16,0.19,0.02,0.02,29.6,40,JDO-B-100512-01
DO.0414,M,G9,LGDO-M-35,2/20/2012,10/5/2012,226,Bld-2 31wks,33.73,6.59,10.36,15.3,48,46.4,14.8,31.9,1436,7.1,0,0,9.1,75.6,2.3,12.5,0.2,0.4,0.6,4.98,0.15,0.82,0.01,0.03,31.4,20,JDO-B-100512-01
DO.0415,M,G9,LGDO-M-35,2/18/2012,10/5/2012,228,Bld-2 31wks,52.16,3.39,9.92,15,48.7,49.1,15.1,30.8,1915,7.7,0,0,21.1,74.6,0.9,2.5,0.2,0.7,0.72,2.53,0.03,0.09,0.01,0.03,30.4,40,JDO-B-100512-01
DO.0416,M,G9,LGDO-M-36A,2/22/2012,10/5/2012,224,Bld-2 31wks,41.04,6.92,10.46,16.8,51.9,49.6,16,32.4,955,7.8,0,0,9.2,81.9,2.2,4.6,1,1.1,0.63,5.67,0.16,0.32,0.07,0.07,31.6,30,JDO-B-100512-01
DO.0417,M,G9,LGDO-M-36,2/21/2012,10/5/2012,225,Bld-2 31wks,38.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,JDO-B-100512-01
DO.0419,M,G9,LGDO-M-36C,2/20/2012,10/5/2012,226,Bld-2 31wks,40.87,9.51,12.15,17.7,56.5,46.5,14.6,31.3,1422,6.8,0,0,15.9,78.6,1.8,2.9,0.4,0.4,1.51,7.48,0.17,0.28,0.04,0.04,30.6,40,JDO-B-100512-01
DO.0420,M,G9,LGDO-M-36B,2/22/2012,10/5/2012,224,Bld-2 31wks,32.11,6.77,11,17.3,54.2,49.3,15.7,31.9,1184,6.4,0,0,20.8,69.7,2.7,6.1,0.3,0.4,1.41,4.72,0.18,0.42,0.02,0.03,31,40,JDO-B-100512-01
DO.0421,M,G10,LGDO-M-37A,5/14/2012,12/12/2012,212,Bld-2 31wks,48.68,4.89,10.17,16.2,49.5,48.7,16,32.8,1434,5,2.81,285.8,24.4,67.1,3.9,4.2,0.2,0.3,1.19,3.28,0.19,0.2,0.01,0.01,30.7,NA,
DO.0422,M,G10,LGDO-M-37A,5/11/2012,12/12/2012,215,Bld-2 31wks,41.93,10.98,10.83,17.1,51.9,47.9,15.8,33,1459,4.8,3.69,399.6,14.2,79.2,3.1,2.4,0.3,0.8,1.56,8.69,0.35,0.26,0.03,0.09,31.9,NA,
DO.0423,M,G10,LGDO-M-37,5/14/2012,12/12/2012,212,Bld-2 31wks,31.16,9.95,10.67,15.8,48.4,45.4,14.8,32.7,1536,4.7,2.95,314.3,7.2,86.9,1.2,3.8,0.1,0.8,0.72,8.64,0.12,0.38,0.01,0.08,31.2,NA,
DO.0424,M,G10,LGDO-M-37,5/18/2012,12/12/2012,208,Bld-2 31wks,41.06,9.32,10.55,15.4,49.5,46.9,14.6,31.1,2073,5.1,2.7,285.1,14.9,78.9,2.9,2.3,0.2,0.8,1.39,7.35,0.27,0.22,0.02,0.08,30.7,NA,
DO.0426,M,G10,LGDO-M-38B,5/14/2012,12/12/2012,212,Bld-2 31wks,26.65,6.02,11,15.6,48,43.6,14.2,32.5,1228,5.1,2.07,228,13.1,73.9,3,9.4,0.2,0.4,0.79,4.45,0.18,0.57,0.01,0.02,30.2,NA,
DO.0427,M,G10,LGDO-M-38,5/14/2012,12/12/2012,212,Bld-2 31wks,38.66,5.49,10.88,16.2,48.7,44.7,14.9,33.3,1060,4.6,3.17,345.5,11.5,82.8,2.6,2.5,0.1,0.6,0.63,4.54,0.14,0.13,0.01,0.03,31.4,NA,
DO.0429,M,G10,LGDO-M-38A,5/16/2012,12/12/2012,210,Bld-2 31wks,36.18,5.09,11.34,17.5,52,45.9,15.4,33.6,1192,5.6,2.27,257.9,11,77.6,3.5,7.3,0.4,0.2,0.56,3.95,0.18,0.37,0.02,0.01,30.9,NA,
DO.0430,M,G10,LGDO-M-38C,5/14/2012,12/12/2012,212,Bld-2 31wks,38.23,8.42,12.39,17.5,53.5,43.1,14.1,32.8,1147,5.3,3.02,374.6,8.2,81.8,2.8,6.6,0.3,0.4,0.69,6.88,0.24,0.55,0.02,0.03,31,NA,
DO.0432,M,G10,LGDO-M-39A,5/13/2012,12/12/2012,213,Bld-2 31wks,33.49,7.33,10.68,14.5,46.7,43.8,13.6,31,1453,5.2,2.94,314.5,7.6,87.7,1.8,2.1,0.2,0.6,0.55,6.43,0.13,0.15,0.01,0.05,30.3,NA,
DO.0434,M,G10,LGDO-M-39,5/12/2012,12/12/2012,214,Bld-2 31wks,28.67,7.07,11.96,16.4,50.8,42.5,13.7,32.2,1306,5,2.2,262.7,21.3,71.5,4,2.2,0.7,0.3,1.51,5.05,0.28,0.15,0.05,0.02,30.5,NA,
DO.0435,M,G10,LGDO-M-39B,5/15/2012,12/12/2012,211,Bld-2 31wks,36.67,5.6,10.19,16.7,50.2,49.2,16.4,33.2,1316,5,2.3,234.2,21.2,72.3,1.9,4,0.3,0.3,1.19,4.05,0.11,0.22,0.02,0.02,31.1,NA,
DO.0437,M,G10,LGDO-M-40,5/16/2012,12/12/2012,210,Bld-2 31wks,42.79,4.72,10.81,15,47.6,44,13.9,31.5,1686,5,2.27,245,14.3,80.7,2.1,2.4,0.2,0.3,0.68,3.81,0.1,0.11,0.01,0.02,29.8,NA,
DO.0438,M,G10,LGDO-M-40,5/17/2012,12/12/2012,209,Bld-2 31wks,25.5,18.3,10.35,15.3,48.9,47.2,14.7,31.2,2456,5.4,4.88,504.8,22.9,70.5,3.7,1.8,0.3,0.9,4.18,12.89,0.67,0.33,0.06,0.16,30.5,NA,
DO.0439,M,G10,LGDO-M-40,5/13/2012,12/12/2012,213,Bld-2 31wks,53.24,10.27,10.97,17.6,52.6,47.9,16,33.4,1170,5.7,3.33,365.5,10.9,84.1,1.5,2.3,0.4,0.8,1.12,8.64,0.15,0.24,0.04,0.08,32.3,NA,
DO.0440,M,G10,LGDO-M-40,5/15/2012,12/12/2012,211,Bld-2 31wks,32.84,17.77,10.45,15.6,48.4,46.3,15,32.3,1113,5.1,2.56,268,11.1,80.2,1.8,5.1,0.3,1.5,1.97,14.25,0.31,0.91,0.06,0.27,30.5,NA,
DO.0441,M,G10,LGDO-M-41,5/14/2012,12/19/2012,219,Bld-2 31wks,34.53,10.41,10.17,15.5,47.9,47.1,15.2,32.3,1631,4.9,2.57,261.4,12.4,82.7,2.7,1.4,0.2,0.6,1.29,8.61,0.28,0.15,0.02,0.07,30.7,NA,
DO.0442,M,G10,LGDO-M-41,5/16/2012,12/19/2012,217,Bld-2 31wks,37.28,11.68,8.78,13,42.2,48,14.8,30.8,2301,5.1,12.29,1079,9.1,82.8,3.1,4.1,0.2,0.6,1.07,9.67,0.37,0.48,0.02,0.07,30.6,NA,
DO.0443,M,G10,,5/13/2012,12/19/2012,220,Bld-2 31wks,32.82,7.61,10.09,16,49.2,48.7,15.8,32.5,1627,5.7,3.31,334.3,13.9,78.6,3.9,3,0.3,0.4,1.06,5.98,0.29,0.23,0.02,0.03,30.9,NA,
DO.0444,M,G10,LGDO-M-41A,5/11/2012,12/19/2012,222,Bld-2 31wks,44.23,7.36,9.98,13.7,43.4,43.5,13.7,31.5,1887,5.2,2.79,277.9,18.9,76.1,1.4,3.1,0.2,0.3,1.39,5.6,0.1,0.23,0.02,0.02,30.9,NA,
DO.0445,M,G10,LGDO-M-41,5/10/2012,12/19/2012,223,Bld-2 31wks,42.6,15.62,11,15.5,48.5,44.1,14,31.8,1939,5.3,2.33,256.6,17.3,75.6,3.7,2.2,0.3,0.9,2.71,11.81,0.58,0.34,0.05,0.13,30.5,NA,
DO.0446,M,G10,LGDO-M-42,5/14/2012,12/19/2012,219,Bld-2 31wks,37.25,13.63,10.22,15.6,48.5,47.5,15.2,32.1,1712,5.1,4.89,499.9,42.1,51.8,2.3,3.1,0.4,0.4,5.74,7.06,0.31,0.42,0.05,0.05,30.4,NA,
DO.0447,M,G10,LGDO-M-42,5/13/2012,12/19/2012,220,Bld-2 31wks,47.37,9.36,11.73,17,53.3,45.5,14.5,31.9,1198,5.1,2.76,323.3,9.8,85.9,1.7,1.6,0.4,0.6,0.92,8.04,0.16,0.15,0.04,0.05,30.9,NA,
DO.0448,M,G10,LGDO-M-42,5/17/2012,12/19/2012,216,Bld-2 31wks,45.03,10.39,11.62,15.8,52.2,44.9,13.6,30.3,1662,5.7,2.48,288.3,16.8,76,1.7,4.5,0.3,0.6,1.75,7.9,0.18,0.47,0.04,0.06,28.4,NA,
DO.0449,M,G10,LGDO-M-42,5/14/2012,12/19/2012,219,Bld-2 31wks,32.09,8.03,9.89,15.7,48.7,49.2,15.8,32.2,2078,5.4,3.98,393.5,11.4,80.6,3.1,4.3,0.2,0.4,0.91,6.47,0.25,0.34,0.02,0.03,30.8,NA,
